0,추경호 “쌀 수급 안정 대책 이달 말 발표…물가 10월 정점”,동아일보,no date,https://news.google.com./articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL0Vjb25vbXkvYXJ0aWNsZS9hbGwvMjAyMjA5MTUvMTE1NDY4MDM0LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjIwOTE1LzExNTQ2ODAzNC8x?hl=ko&gl=KR&ceid=KR%3Ako
1,"'쌀값 30% 급등', 올 상반기 '쌀플레이션' 주의보…물가당국, 예의주시 - 조선비즈",조선비즈,2021-01-13T08:00:00,https://news.google.com./articles/CBMiR2h0dHBzOi8vYml6LmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMDEvMTIvMjAyMTAxMTIwMjM1OC5odG1s0gFWaHR0cHM6Ly9iaXouY2hvc3VuLmNvbS9zaXRlL2RhdGEvaHRtbF9kaXIvMjAyMS8wMS8xMi8yMDIxMDExMjAyMzU4Lmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
2,"이재명, 이번엔 '쌀값' 압박…'물가 상승 불쏘시개 될 수도' - 서울경제",서울경제신문,2021-11-25T08:00:00,https://news.google.com./articles/CBMiK2h0dHBzOi8vd3d3LnNlZGFpbHkuY29tL05ld3NWaWV3LzIyVTVMN1dGR1TSASxodHRwczovL20uc2VkYWlseS5jb20vTmV3c1ZpZXdBbXAvMjJVNUw3V0ZHVA?hl=ko&gl=KR&ceid=KR%3Ako
3,산지 쌀값 두 달 사이 7% 하락…농가 “더 떨어질 것” 불안 팽배,한국농어민신문,2021-11-30T08:00:00,https://news.google.com./articles/CBMiO2h0dHA6Ly93d3cuYWdyaW5ldC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzA1NDE40gEA?hl=ko&gl=KR&ceid=KR%3Ako
4,"“'인플레인션 물가' 와 '쌀 시장격리제', 다른 정책이다”",농업인신문,2021-12-24T08:00:00,https://news.google.com./articles/CBMiPGh0dHBzOi8vd3d3Lm5vbmd1cGluLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz05NDgyOdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
5,농민 票心 의식한 당정…쌀 매입 나선다,매일경제,2021-12-28T08:40:34,https://news.google.com./articles/CAIiEMVz4hP3fiiq1mfPmNjqy-4qGQgEKhAIACoHCAow2t-aCDDArqABMNST5AU?uo=CAUiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvZWNvbm9teS92aWV3LzIwMjEvMTIvMTIxNDMzNC_SAQA&hl=ko&gl=KR&ceid=KR%3Ako
6,쌀 20만톤 매입해 가격 띄운다는 정부…물가 또 오르나 [강진규의 농식품+],한국경제,2022-01-24T08:00:00,https://news.google.com./articles/CAIiEFicS-woB-gdrm8F8KgVuWYqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMjAxMjQ4NzA1adIBAA&hl=ko&gl=KR&ceid=KR%3Ako
7,"국회 농해수위 여당, 쌀시장격리 방식 '유감'",한국농정신문,2022-02-13T08:00:00,https://news.google.com./articles/CBMiOGh0dHA6Ly93d3cuaWtwbmV3cy5uZXQvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTQ2NjIy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
8,[시선 플러스]정부가 쌀값 잡기에 몰두한 결과,농축유통신문,2022-02-17T08:00:00,https://news.google.com./articles/CBMiOmh0dHBzOi8vd3d3LmFtbmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDkwMzDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
9,GS25 '실속 PICK 계란과 쌀' 밥상물가 잡는다,세이프타임즈,2022-04-13T07:00:00,https://news.google.com./articles/CBMiPWh0dHA6Ly93d3cuc2FmZXRpbWVzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMDk5ODjSAUBodHRwOi8vd3d3LnNhZmV0aW1lcy5jby5rci9uZXdzL2FtcEFydGljbGVWaWV3Lmh0bWw_aWR4bm89MTA5OTg4?hl=ko&gl=KR&ceid=KR%3Ako
