,name,source,data,link
0,경기도 8월 소비자물가 5.6% ↑...6개월만에 상승세 둔화,뉴시스,no date,https://news.google.com./articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIyMDkwMl8wMDAyMDAwMjY20gEA?hl=ko&gl=KR&ceid=KR%3Ako
1,먹거리 물가는 뜀박질… 서민가계 '주름살',한국경제,2018-06-13T07:00:00,https://news.google.com./articles/CBMiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAxODA2MTMwNTk3MdIBMmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FtcC8yMDE4MDYxMzA1OTcx?hl=ko&gl=KR&ceid=KR%3Ako
2,1월 물가상승률 13개월만에 1%대로 반등,한겨레,2020-02-04T08:00:00,https://news.google.com./articles/CBMiP2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9lY29ub215L2Vjb25vbXlfZ2VuZXJhbC85MjY5NTQuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
3,물가 석달만에 상승…코로나·저유가·무상교육에 여전히 0%대(종합2보),한국경제,2020-08-04T07:00:00,https://news.google.com./articles/CAIiEDwUyyJCtkGFOR4lwkZtwykqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMDA4MDQwMjgxWdIBAA&hl=ko&gl=KR&ceid=KR%3Ako
4,8월 식품물가 상승률 22개국 중 3위…역대 최장 장마탓,매일신문,2020-09-16T07:00:00,https://news.google.com./articles/CBMiM2h0dHA6Ly9tbmV3cy5pbWFlaWwuY29tL0Vjb25vbXkvMjAyMDA5MTYwNzIzNTMzODg1N9IBAA?hl=ko&gl=KR&ceid=KR%3Ako
5,"감자 58%↑·쌀17%↑, 식량작물 가격 급등…밥상물가 비상",한국경제,2020-11-22T08:00:00,https://news.google.com./articles/CAIiEBOmJvBNgzcnVupz9yroBEEqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMDExMjI2MDg4adIBAA&hl=ko&gl=KR&ceid=KR%3Ako
6,곡물 가격 일제히 상승…불안한 밥상물가,한국경제,2020-11-22T08:49:57,https://news.google.com./articles/CAIiEBdtIkTq27n8cOqFZB9p_qQqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMDExMjI2NTgzMdIBAA&hl=ko&gl=KR&ceid=KR%3Ako
7,"'쌀값 30% 급등', 올 상반기 '쌀플레이션' 주의보…물가당국, 예의주시 - 조선비즈",조선비즈,2021-01-13T08:00:00,https://news.google.com./articles/CBMiR2h0dHBzOi8vYml6LmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMDEvMTIvMjAyMTAxMTIwMjM1OC5odG1s0gFWaHR0cHM6Ly9iaXouY2hvc3VuLmNvbS9zaXRlL2RhdGEvaHRtbF9kaXIvMjAyMS8wMS8xMi8yMDIxMDExMjAyMzU4Lmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
8,"""두 달 뒤 밥상에서 감자·토마토 못 볼 수 있습니다""",한국경제,2021-01-14T08:20:30,https://news.google.com./articles/CAIiEFXCA1p1qYz4qP5ONchImoIqGQgEKhAIACoHCAow0__cCjDUitABMMXcrgY?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMTAxMTQzNzEzMdIBAA&hl=ko&gl=KR&ceid=KR%3Ako
9,"이마트·SSG닷컴, 농식품부 손잡고 농산물 물가 안정 나선다",이코노믹리뷰,2021-01-28T08:00:00,https://news.google.com./articles/CBMiO2h0dHA6Ly93d3cuZWNvbm92aWxsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTE2OTQ10gEA?hl=ko&gl=KR&ceid=KR%3Ako
10,계란 한판 8000원 시대?...설 끝났지만 장바구니 물가 비상 - 조선비즈,조선비즈,2021-02-16T08:00:00,https://news.google.com./articles/CBMiR2h0dHBzOi8vYml6LmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMDIvMTYvMjAyMTAyMTYwMDcwMC5odG1s0gFWaHR0cHM6Ly9iaXouY2hvc3VuLmNvbS9zaXRlL2RhdGEvaHRtbF9kaXIvMjAyMS8wMi8xNi8yMDIxMDIxNjAwNzAwLmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
11,고구마·브로콜리 너마저?…가락시장 울려퍼진 '갈등의 노래',한겨레,2021-08-17T07:00:00,https://news.google.com./articles/CBMiNWh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hcmVhL2NhcGl0YWwvMTAwNzkyMi5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
12,아트인사이트 – [오피니언] 겨울 간식 보고서 (1) [음식],아트인사이트,2021-10-22T07:00:00,https://news.google.com./articles/CBMiM2h0dHBzOi8vd3d3LmFydGluc2lnaHQuY28ua3IvbmV3cy92aWV3LnBocD9ubz01NjQ3NdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
13,"""이렇게 예쁜 고구마 처음""…신품종 '소담미' 호평 이어져",한국경제,2021-10-27T07:00:00,https://news.google.com./articles/CAIiEATX8IH-ibDpE5VKsY1gpT4qGQgEKhAIACoHCAow0__cCjDUitABMP3bjQY?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9zb2NpZXR5L2FydGljbGUvMjAyMTEwMjc3NjUxWdIBAA&hl=ko&gl=KR&ceid=KR%3Ako
14,고구마와 '찰떡궁합'인 우유·김치… 건강에는?,헬스조선,2021-10-27T07:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMTAvMjcvMjAyMTEwMjcwMTg4Ni5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
15,고구마 민주주의 : 칼럼 : 사설.칼럼 : 뉴스,한겨레,2021-11-11T08:00:00,https://news.google.com./articles/CBMiNWh0dHBzOi8vbS5oYW5pLmNvLmtyL2FydGkvb3Bpbmlvbi9jb2x1bW4vMTAxODk5My5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
16,"[포토] 이마트24, 집에 쟁여 놓고 먹는 '가메골 왕만두·아이스군고구마' 출시",뉴데일리경제,2021-11-21T08:00:00,https://news.google.com./articles/CBMiR2h0dHBzOi8vYml6Lm5ld2RhaWx5LmNvLmtyL3NpdGUvZGF0YS9odG1sLzIwMjEvMTEvMjEvMjAyMTExMjEwMDA1Mi5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
17,"'뜨끈뜨끈' 고구마, '이렇게' 먹어야 건강 - 당신의 건강가이드 헬스조선",헬스조선,2021-11-25T08:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMTEvMjQvMjAyMTExMjQwMTMxNS5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
