,ds,yhat
0,2021-09-23,57239.3531905122
1,2021-09-24,57205.72224850246
2,2021-09-27,57147.589506219614
3,2021-09-28,57119.334309206664
4,2021-09-29,57075.663093684176
5,2021-09-30,57066.96433065093
6,2021-10-01,57033.33338864119
7,2021-10-05,56946.94544934539
8,2021-10-06,56903.27423382292
9,2021-10-07,56818.42393010556
10,2021-10-08,56708.6414474117
11,2021-10-12,56317.64734537949
12,2021-10-13,56197.82458917289
13,2021-10-14,56112.97428545553
14,2021-10-15,56003.191802761714
15,2021-10-18,55716.6044384265
16,2021-10-19,55612.197666722015
17,2021-10-20,55492.37487650792
18,2021-10-21,55407.52453878307
19,2021-10-22,55297.742022081766
20,2021-10-25,55011.15455572417
21,2021-10-26,54906.74778401969
22,2021-10-27,54786.92499380557
23,2021-10-28,54702.07465608072
24,2021-10-29,54624.79307243321
25,2021-11-01,54435.708405237
26,2021-11-02,54363.802566586346
27,2021-11-03,54276.48070942608
28,2021-11-04,54224.13130475502
29,2021-11-05,54146.84972110752
30,2021-11-08,53957.76505391136
31,2021-11-09,53885.859215260665
32,2021-11-10,53835.94903559138
33,2021-11-11,53821.01130841129
34,2021-11-12,53781.14140225477
35,2021-11-15,53704.29176753148
36,2021-11-16,53669.797606371765
37,2021-11-17,53619.88742670247
38,2021-11-18,53604.9496995224
39,2021-11-19,53572.20681174886
40,2021-11-22,53516.73823217463
41,2021-11-23,53489.37108939788
42,2021-11-24,53446.58792811161
43,2021-11-25,53438.777219314514
44,2021-11-26,53406.034331540985
45,2021-11-29,53350.56575196669
46,2021-11-30,53323.19860918996
47,2021-12-01,53280.41544782414
48,2021-12-02,53272.60473894752
49,2021-12-06,53184.39327128151
50,2021-12-07,53157.02612842527
51,2021-12-08,53114.24296705938
52,2021-12-09,53106.432258182744
53,2021-12-10,53073.68937032966
54,2021-12-13,53018.22079051676
55,2021-12-14,52990.85362302921
56,2021-12-15,52948.07043703211
57,2021-12-16,52940.25970352425
58,2021-12-17,52907.5167910399
59,2021-12-20,52852.04813733324
60,2021-12-21,52824.68096984575
61,2021-12-22,52781.897783848646
62,2021-12-23,52774.08705494464
63,2021-12-24,52741.3441470642
64,2021-12-27,52685.87550716913
65,2021-12-28,52658.50834428548
66,2021-12-29,52615.72516289221
67,2021-12-30,52607.91443398821
68,2021-12-31,52575.171526107755
69,2022-01-03,52519.70288621269
70,2022-01-04,52503.417972836345
71,2022-01-05,52471.71704095032
72,2022-01-06,52474.98856155355
73,2022-01-07,52453.32790318034
74,2022-01-10,52431.106011807045
75,2022-01-11,52414.821098430664
76,2022-01-12,52383.12016654467
77,2022-01-13,52386.39168714792
78,2022-01-14,52372.488916874965
79,2022-01-17,52373.54068980245
80,2022-01-18,52365.01366452632
81,2022-01-19,52341.07062074063
82,2022-01-20,52352.10002944416
83,2022-01-21,52338.1972591712
84,2022-01-24,52339.24903209873
85,2022-01-25,52331.118019254354
86,2022-01-26,52307.570987900384
87,2022-01-27,52318.99640903569
88,2022-01-28,52305.489651194504
89,2022-02-03,52287.47683835429
90,2022-02-04,52273.97008051309
91,2022-02-07,52276.2098907359
92,2022-02-08,52268.07887789151
93,2022-02-09,52244.53184968808
94,2022-02-10,52255.957273973894
95,2022-02-11,52242.45051928325
96,2022-02-14,52244.690338957545
97,2022-02-15,52236.55932926373
98,2022-02-16,52213.01230106026
99,2022-02-17,52224.43772534606
100,2022-02-18,52210.9309706554
101,2022-02-21,52213.17077147831
102,2022-02-22,52205.03975550064
103,2022-02-23,52181.492721013376
104,2022-02-24,52192.91813901535
105,2022-02-25,52179.411378040866
106,2022-02-28,52181.65117886373
107,2022-03-02,52149.97312839882
108,2022-03-03,52161.39854640081
109,2022-03-04,52144.38237917737
110,2022-03-07,52136.09396125329
111,2022-03-08,52124.45353902661
112,2022-03-10,52105.313110043375
113,2022-03-11,52088.29694281993
114,2022-03-14,52080.00852489584
115,2022-03-15,52068.36810266918
116,2022-03-16,52033.82620197435
117,2022-03-17,52034.25675376873
118,2022-03-18,52009.75512658665
119,2022-03-21,51979.01032878674
120,2022-03-22,51959.88444660148
121,2022-03-23,51925.34254590667
122,2022-03-24,51925.77309770104
123,2022-03-25,51901.271470518965
124,2022-03-28,51729.69076020329
125,2022-03-29,51663.619573846074
126,2022-03-30,51582.13236897937
127,2022-03-31,51535.617616601856
128,2022-04-01,51464.17068524786
129,2022-04-04,51292.58997493223
130,2022-04-05,51226.51878857507
131,2022-04-06,51145.031583708296
132,2022-04-07,51077.14936570899
133,2022-04-08,50984.33496873324
134,2022-04-11,50748.651861552346
135,2022-04-12,50661.21320957336
136,2022-04-13,50558.35853908486
137,2022-04-14,50490.476321085574
138,2022-04-15,50397.6619241098
139,2022-04-18,50161.9788193864
140,2022-04-19,50074.540168226646
141,2022-04-20,49971.685498557315
142,2022-04-21,49903.80328137719
143,2022-04-22,49810.98888522064
144,2022-04-25,49575.305780497256
145,2022-04-26,49487.86712933753
146,2022-04-27,49385.01245966813
147,2022-04-28,49367.64963896851
148,2022-04-29,49325.35463929244
149,2022-05-02,49241.229724010554
150,2022-05-03,49204.31046933133
151,2022-05-04,49151.97519614244
152,2022-05-06,49092.31737576674
153,2022-05-09,49008.192460484854
154,2022-05-10,48971.27320580559
155,2022-05-11,48919.00780966489
156,2022-05-12,48901.71486601346
157,2022-05-13,48859.48974338556
158,2022-05-16,48775.57445924815
159,2022-05-17,48738.72508161704
160,2022-05-18,48686.459685476395
161,2022-05-19,48669.16674182496
162,2022-05-20,48626.94162300964
163,2022-05-23,48543.02635031012
164,2022-05-24,48506.176976491624
165,2022-05-25,48453.91158416354
166,2022-05-26,48436.618644324706
167,2022-05-27,48394.393525509426
168,2022-05-30,48310.47825280984
169,2022-05-31,48273.62887899136
170,2022-06-02,48225.7890975426
171,2022-06-03,48194.42325408634
172,2022-06-07,48117.09570900448
173,2022-06-08,48075.68959203548
174,2022-06-09,48069.255927555714
175,2022-06-10,48037.89008409947
176,2022-06-13,47986.552637477056
177,2022-06-14,47960.56253901765
178,2022-06-15,47919.15642970717
179,2022-06-16,47912.722772885936
180,2022-06-17,47881.356937088225
181,2022-06-20,47830.019513441504
